Sr_No,Bank,No_of_Transactions,Total_Amount,Active_Customers_Count,Month,Year,Category
3936,THE DISTRICT CO-OPERATIVE CENTRAL BANK LTD.ELURU,2943,49436.5,6038,June,2024,Mobile Banking
3937,THE EENADU CO-OP. URBAN BANK LTD.,1505,71950.7,242,June,2024,Mobile Banking
3938,THE ERODE DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,71018,114926.09,336,June,2024,Mobile Banking
3939,THE FINANCIAL CO-OPERATIVE BANK LTD.,2963,90350.85,2221,June,2024,Mobile Banking
3940,THE GANDEVI PEOPLE'S CO-OP.BANK LTD,26114,157065.06,303,June,2024,Mobile Banking
3941,THE GANDHI GUNJ CO-OPERATIVE BANK LTD,7216,58829.9,186,June,2024,Mobile Banking
3942,THE GANDHIDHAM CO OPERATIVE BANK LTD,1728,163574.32,334,June,2024,Mobile Banking
3943,THE GANDHIDHAM MERCANTILE CO-OPERATIVE BANK LTD.,4791,271958.61,579,June,2024,Mobile Banking
3944,THE GANDHINAGAR NAGARIK CO-OP. BANK LTD.,26159,124281.74,314,June,2024,Mobile Banking
3945,THE GANDHINAGAR URBAN CO OP BANK LTD.,14886,80871.94,407,June,2024,Mobile Banking
3946,THE GOA URBAN CO-OPERATIVE BANK,898,6979.74,200,June,2024,Mobile Banking
3947,THE GODHRA URBAN CO OP BANK,17663,624511.66,5379,June,2024,Mobile Banking
3948,THE GRAIN MERCHANT'S CO-OPERATIVE BANK LTD,52,7128.38,212,June,2024,Mobile Banking
3949,THE GREATER BOMBAY CO-OP BANK LTD,14351,341174.17,3060,June,2024,Mobile Banking
3950,THE GUJARAT STATE CO-OPERATIVE BANK LTD.,611437,1731077.76,3733,June,2024,Mobile Banking
3951,THE GUNTUR CO.OPERATIVE URBAN BANK LTD,404,8773.4,108,June,2024,Mobile Banking
3952,THE GUNTUR DISTRICT CO-OPERATIVE CENTRAL BANK LIMITED,1750,27678,3870,June,2024,Mobile Banking
3953,THE HARYANA STATE CO-OPERATIVE APEX BANK LTD.,32005,102828.96,1644,June,2024,Mobile Banking
3954,"THE HASTI CO-OP. BANK LTD., DONDAICHA",455462,1745831.73,1443,June,2024,Mobile Banking
3955,THE HONAVAR URBAN CO-OPERATIV BANK LTD,237,1944.83,59,June,2024,Mobile Banking
3956,THE JAIN SAHAKARI BANK LTD.,1153,15539.98,156,June,2024,Mobile Banking
3957,THE JAIPUR CENTRAL COOPERATIVE BANK LTD,285,5851.29,51,June,2024,Mobile Banking
3958,THE JALGAON PEOPLES CO-OP BANK LTD. JALGAON,905773,3706500.68,7828,June,2024,Mobile Banking
3959,THE JAMKHANDI URBAN CO-OPERATIVE BANK LTD,34373,55111.62,236,June,2024,Mobile Banking
3960,THE JAMMU & KASHMIR BANK,100426901,237228932.4,1377161,June,2024,Mobile Banking
3961,THE JAMNAGAR PEOPLES CO OP  BANK LTD,1218,139406.27,158,June,2024,Mobile Banking
3962,THE JAMPETA CO-OPERATIVE URBAN BANK LTD,69481,102262.99,205,June,2024,Mobile Banking
3963,THE JHAJJAR CENTRAL COOPERATIVE BANK LTD; JHAJJAR,220,5154.16,281,June,2024,Mobile Banking
3964,THE JIND CENTRAL COOPERATIVE BANK LTD.,876,28369.86,818,June,2024,Mobile Banking
3965,THE JUNAGADH COMMERCIAL CO OPERATIVE BANK LTD,9065,564922.26,936,June,2024,Mobile Banking
3966,THE JUNAGADH JILLA SAHAKARI BANK LTD.,54010,347789.45,3229,June,2024,Mobile Banking
3967,"THE KAIRA DISTRICT CENTRAL CO.OP BANK LTD,",12208,667776.97,18428,June,2024,Mobile Banking
3968,THE KALUPUR COMM. CO OP BANK LTD,2563029,15244718.43,124053,June,2024,Mobile Banking
3969,THE KALYAN JANATA SAHAKARI BANK LTD.,2484615,3593195.59,4209,June,2024,Mobile Banking
3970,"THE KANCHEEPURAM CENTRAL COOPERATIVE BANK LTD.,",696,6451.58,696,June,2024,Mobile Banking
3971,THE KARNATAKA STATE COOPERATIVE APEX BANK LTD.,471355,1194175.58,41414,June,2024,Mobile Banking
3972,THE KARNAVATI CO-OP. BANK LTD.,16860,1863708.6,976,June,2024,Mobile Banking
3973,THE KHATTRI CO-OPERATIVE URBAN BANK LTD,1256,60426.08,177,June,2024,Mobile Banking
3974,THE KODAGU DISTRICT CO-OP CENTRAL BANK LTD.,1514,35195.57,406,June,2024,Mobile Banking
3975,THE KODUNGALLUR TOWN CO OPERATIVE BANK LTD,157,4455.99,157,June,2024,Mobile Banking
3976,"THE KOLAR AND CHIKBALLAPURA DISTRICT CENTRAL COOPERATIVE BANK LTD., KOLAR",484,9720.26,232,June,2024,Mobile Banking
3977,THE KOLHAPUR URBAN CO-OP. BANK LTD.,4453,131916.37,588,June,2024,Mobile Banking
3978,"THE KRANTHI CO-OPERATIVE URBAN BANK LTD.,",38968,92650.15,225,June,2024,Mobile Banking
3979,"THE KRISHNA DISTRICT CO-OPERATIVE CENTRAL BANK LTD.,MACHILIPATNAM",5665,127116.6,2307,June,2024,Mobile Banking
3980,THE KUKARWADA NAGARIK SAHAKARI BANK LTD,9340,1072288.79,4068,June,2024,Mobile Banking
3981,THE KUMBAKONAM CENTRAL COOPERATIVE BANK LTD,115,515.96,7,June,2024,Mobile Banking
3982,THE KURUKSHETRA CENTRAL COOP. BANK LTD; KURUKSHETRA,272,7644.16,512,June,2024,Mobile Banking
3983,THE LUNAWADA PEOPLE'S CO OP BANK LTD,10024,362347.08,311,June,2024,Mobile Banking
3984,THE MAHARAJA CO-OPERATIVE URBAN BANK LIMITED,1099,30115.61,241,June,2024,Mobile Banking
3985,THE MAHARASHTRA MANTRALAYA & ALLIED OFFICES CO-OPERATIVE BANK LTD,3247,46879.72,919,June,2024,Mobile Banking
3986,THE MAHARASHTRA STATE CO-OPERATIVE BANK,15509,196420.11,13182,June,2024,Mobile Banking
3987,THE MALAD SAHAKARI BANK LIMITED,115999,211264.33,639,June,2024,Mobile Banking
3988,THE MALVIYA URBAN COOPERATIVE BANK LTD,187,4257.59,10,June,2024,Mobile Banking
3989,THE MANDVI NAGRIK SAHAKARI BANK LTD.,727,26429.27,116,June,2024,Mobile Banking
3990,THE MANGALORE CATHOLIC CO-OPERATIVE BANK,4418,87962.16,729,June,2024,Mobile Banking
3991,THE MANGALORE CO-OPERATIVE TOWN BANK LTD,320,7232.57,65,June,2024,Mobile Banking
3992,THE MATTANCHERRY SARVAJANIK CO- OP BANK LTD NO 3284,1040,6465.82,279,June,2024,Mobile Banking
3993,THE MEGHALAYA CO-OPERATIVE APEX BANK LTD.,12207,223019.93,2740,June,2024,Mobile Banking
3994,THE MEHSANA DISTRICT CENTRAL CO.OP BANK LTD.,85990,150416.55,547,June,2024,Mobile Banking
3995,THE MEHSANA NAGRIK SAHAKARI BANK LTD,18098,440129.93,523,June,2024,Mobile Banking
3996,THE MODASA NAGARIK SAHAKARI BANK LTD,2871,280531.34,348,June,2024,Mobile Banking
3997,THE MUDALAGI CO OP BANK LTD.,154,5005.76,165,June,2024,Mobile Banking
3998,"THE MUNICIPAL CO-OPERATIVE BANK LTD., MUMBAI",15906,254802.41,5253,June,2024,Mobile Banking
3999,"THE MUSLIM CO-OPERATIVE BANK LTD., PUNE",441627,1405093.87,1451,June,2024,Mobile Banking
4000,THE MYSORE AND CHAMARAJANAGAR DISTT CO OP CENTRAL BANK LTD MYSURU,1569,28285.58,67,June,2024,Mobile Banking
4001,"THE NALGONDA DIST. CO-OPERATIVE CENTRAL BANK LTD.,NALGONDA",156485,374868.47,7252,June,2024,Mobile Banking
4002,THE NANDED MERCHANTS COOPERATIVE BANK LIMITED,71475,815761.92,4489,June,2024,Mobile Banking
4003,THE NANDURA URBAN CO-OP BANK LIMITED,244223,979168.28,768,June,2024,Mobile Banking
4004,THE NANDURBAR MERCHANT'S  CO-OP BANK LTD NANDURBAR,661,21190.1,69,June,2024,Mobile Banking
4005,THE NARODA NAGRIK CO-OPERATIVE BANK LTD.,18523,602320.25,1377,June,2024,Mobile Banking
4006,"THE NASIK MERCHANT'S CO-OP BANK LTD.,NASHIK",363197,2051678.56,3732,June,2024,Mobile Banking
4007,THE NASIK ROAD DEOLALI VYAPARI SAHAKARI BANK LTD,50545,248369.16,2958,June,2024,Mobile Banking
4008,THE NAVAL DOCKYARD CO-OP BANK LTD.,15171,140292.7,4475,June,2024,Mobile Banking
4009,THE NAVNIRMAN CO OP BANK LTD,20453,1924370.83,2066,June,2024,Mobile Banking
4010,THE NAWANAGAR CO-OPERATIVE BANK LTD.,22580,2096764.97,12550,June,2024,Mobile Banking
4011,THE NILAMBUR CO-OPERATIVE URBAN BANK LTD.,21551,391554.11,3426,June,2024,Mobile Banking
4012,"THE NILGIRIS DISTRICT CENTRAL CO OPERATIVE BANK LTD.,",510,9301.18,170,June,2024,Mobile Banking
4013,THE OTTAPALAM CO OPERATIVE URBAN BANK LTD.,1349,31423.7,1216,June,2024,Mobile Banking
4014,THE PANCHMAHAL DISTRICT CO-OP BANK LTD,18715,1095832.81,11021,June,2024,Mobile Banking
4015,THE PANCHSHEEL MERC. CO. OP. BANK LTD.,979,8554.07,93,June,2024,Mobile Banking
4016,THE PANIPAT CENTRAL COOPERATIVE BANK LTD,637,30364.82,814,June,2024,Mobile Banking
4017,THE PANIPAT URBAN CO-OPERAIVE BANK LTD.,113348,2838282.98,5824,June,2024,Mobile Banking
4018,THE PIMPALGAON MERCHANT COOPERATIVE BANK LTD,892,36998.57,218,June,2024,Mobile Banking
4019,THE PONANI CO-OPERATIVE URBAN BANK LTD,17,184.9,10,June,2024,Mobile Banking
4020,THE PRATAP CO-OP. BANK LTD,1121,19710.61,236,June,2024,Mobile Banking
4021,THE PUDDUKOTTAI DISTRICT CENTRAL COOEPRATIVE BANK LTD,94496,187583.72,65,June,2024,Mobile Banking
4022,THE PUNJAB STATE COOPERATIVE BANK LTD,3144,35250.38,682,June,2024,Mobile Banking
4023,"THE RAILWAY EMP CO-OP BANK LTD., JAIPUR",2114,176667.67,167,June,2024,Mobile Banking
4024,"THE RAIPUR URBAN MERCANTILE CO-OP BANK LTD, RAIPUR (C.G.)",335,13739.59,36,June,2024,Mobile Banking
4025,THE RAJASTHAN STATE CO-OPERATIVE BANK LTD.,27259,126153.49,925,June,2024,Mobile Banking
4026,THE RAJKOT COMMERCIAL CO-OPERATIVE BANK LTD,4268,368630.74,562,June,2024,Mobile Banking
4027,THE RANDER PEOPLES CO OP BANK LTD,567,16146.65,101,June,2024,Mobile Banking
4028,THE RANUJ NAGRIK SAHAKARI BANK LTD,2142,101305.03,587,June,2024,Mobile Banking
4029,"THE RAYAT SEVAK CO-OPERATIVE BANK LTD., SATARA",2080,22208.13,1472,June,2024,Mobile Banking
4030,THE SABARKANTHA DIST. CENTRAL CO-OP BANK LTD.,33154,2055474.65,25178,June,2024,Mobile Banking
4031,THE SALEM DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,508,4601.63,292,June,2024,Mobile Banking
4032,THE SANGAMNER MERCHANTS CO-OP. BANK LTD.,5063,357006.81,613,June,2024,Mobile Banking
4033,THE SANKHEDA NAGARIK SAHAKARI BANK LTD,363,13705.68,50,June,2024,Mobile Banking
4034,THE SANTRAMPUR URBAN CO OP BANK LTD,983,119035.45,313,June,2024,Mobile Banking
4035,THE SARANGPUR CO OP BANK LTD,1528,145855.85,561,June,2024,Mobile Banking
4036,"THE SARDARGUNJ MERCANTILE CO OP BANK LTD,PATAN",1222,120963.16,193,June,2024,Mobile Banking
4037,THE SARVODAYA SAHAKARI BANK LTD MODASA,16430,166192.76,685,June,2024,Mobile Banking
4038,"THE SARVODAYA SAHAKARI BANK LTD.,SURAT",13389,877762.67,5442,June,2024,Mobile Banking
4039,"THE SATARA DCC BANK LTD., SATARA",38003,788823.57,9482,June,2024,Mobile Banking
4040,THE SAURASHTRA CO-OPERATIVE BANK LTD.,41235,275683.18,2696,June,2024,Mobile Banking
4041,THE SHAHADA PEOPLES CO OP BANK LTD SHAHADA,21286,178901.59,311,June,2024,Mobile Banking
4042,THE SHILLONG CO-OPERATIVE URBAN BANK LTD,2907,51980.74,2218,June,2024,Mobile Banking
4043,THE SHIRPUR PEOPLES CO-OP BANK LTD.,10935,125418.37,2264,June,2024,Mobile Banking
4044,THE SIRSI URBAN SAHAKARI BANK LTD,1365,33372.46,238,June,2024,Mobile Banking
4045,THE SONEPAT CENTRAL CO-OP BANK LTD. SONEPAT,457,13189.85,441,June,2024,Mobile Banking
4046,THE SSK CO OPERTIVE BANK LTD,47511,112131.48,58,June,2024,Mobile Banking
4047,THE SULTAN'S BATTERY CO-OPERATIVE URBAN BANK LTD. ,1591,8571.23,2900,June,2024,Mobile Banking
4048,THE SURAT DISTRICT CO-OP BANK LTD.,27621,1583349.3,5398,June,2024,Mobile Banking
4049,THE SURAT MERCANTILE CO OP BANK LTD,5662,314251.82,762,June,2024,Mobile Banking
4050,THE SURAT PEOPLE'S CO-OPERATIVE BANK LTD,851911,14313936.9,898,June,2024,Mobile Banking
4051,THE SUTEX CO-OP BANK LTD,45463,2239645.67,4584,June,2024,Mobile Banking
4052,THE TAMIL NADU INDUSTRIAL CO-OPERATIVE BANK LTD.,2137,19520.59,2308,June,2024,Mobile Banking
4053,THE THANE DISTRICT CENTRAL CO.OP.BANK LTD,19889,253984.87,4786,June,2024,Mobile Banking
4054,THE THANJAVUR CENTRAL CO-OPERATIVE BANK LTD,105,587.79,276,June,2024,Mobile Banking
4055,"THE THOOTHUKUDI DISTRICT CENTRAL COOPERATIVE BANK LIMITED.,",52,341.5,33,June,2024,Mobile Banking
4056,THE TIRUCHIRAPPALLI  DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,537,4601.03,684,June,2024,Mobile Banking
4057,THE UDAIPUR MAHILA SAMRIDHI URBAN CO-OP. BANK LTD.,46244,144591.23,1792,June,2024,Mobile Banking
4058,THE UDAIPUR MAHILA URBAN CO- OP BANK LTD ,79934,177177.42,2398,June,2024,Mobile Banking
4059,THE UDAIPUR URBAN COOPERATIVE BANK LTD.,81916,578727.04,3974,June,2024,Mobile Banking
4060,THE UDUPI CO-OPERATIVE TOWN BANK LTD.,680,8717.24,158,June,2024,Mobile Banking
4061,THE UMRETH URBAN CO-OPERATICE BANK LTD,3602,131783.22,800,June,2024,Mobile Banking
4062,THE UNA PEOPLE'S CO-OP. BANK LTD.,1450,90907.26,456,June,2024,Mobile Banking
4063,THE UNION CO-OP. BANK LTD,39265,420652.24,732,June,2024,Mobile Banking
4064,"THE URBAN CO-OP. BANK LTD., DHARANGAON",134766,176487.22,2648,June,2024,Mobile Banking
4065,THE VAISH COOPERATIVE NEW BANK LTD,235,9571.25,231,June,2024,Mobile Banking
4066,THE VALLABH VIDYANAGAR COMMERCIAL CO.OPERATIVE BANK LTD,2650,157276.53,450,June,2024,Mobile Banking
4067,"THE VARACHHA CO-OP. BANK LTD., SURAT",69079,4397127.31,12000,June,2024,Mobile Banking
4068,THE VELLORE DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,785,6842.14,401,June,2024,Mobile Banking
4069,THE VERAVAL MERCANTILE CO-OPERATIVE BANK LTD ,18207,876956.14,1376,June,2024,Mobile Banking
4070,THE VERAVAL PEOPLES CO OP BANK LTD ,13634,646699.45,2159,June,2024,Mobile Banking
4071,THE VIJAY CO-OPERATIVE BANK LTD.,9794,551454.74,9273,June,2024,Mobile Banking
4072,"THE VIRUDHUNAGAR DISTRICT CENTRAL COOPERATIVE BANK LTD.,",65,275.6,32,June,2024,Mobile Banking
4073,"THE VISHWESHWAR SAHAKARI BANK LTD., PUNE",789509,1260392.63,1449,June,2024,Mobile Banking
4074,THE WASHIM URBAN CO-OPERATIVE BANK LTD,1877,57446.78,286,June,2024,Mobile Banking
4075,THE WEST BENGAL STATE COOPERATIVE BANK LTD.,4730,26507.01,3348,June,2024,Mobile Banking
4076,THE YAMUNA NAGAR CENTRAL COOPERATIVE BANK LTD.,303,6718.75,327,June,2024,Mobile Banking
4077,THE ZOROASTIAN CO-OPERATIVE BANK LTD,21594,209936.36,2853,June,2024,Mobile Banking
4078,THE NEW URBAN CO-OP. BANK LTD. - RAMPUR,95935,539235.48,2670,June,2024,Mobile Banking
4079,TIRUNELVELI DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,148,1857.01,72,June,2024,Mobile Banking
4080,"TIRUPATI URBAN CO-OP. BANK LTD., NAGPUR",5246,109487.51,986,June,2024,Mobile Banking
4081,TIRUVANNAMALAI DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,218,1773.73,202,June,2024,Mobile Banking
4082,TJSB SAHAKARI BANK LTD,9039573,12736860.02,12541,June,2024,Mobile Banking
4083,TRIPURA GRAMIN BANK,1978318,2396723.67,2368,June,2024,Mobile Banking
4084,TRIPURA STATE CO-OPERATIVE BANK LTD.,227450,453412.06,17804,June,2024,Mobile Banking
4085,TUMKUR GRAIN MERCHANTS CO-OP. BANK LTD.,4753,244294.67,1164,June,2024,Mobile Banking
4086,U.P. CO-OPERATIVE BANK LTD,113796,174789.3,232,June,2024,Mobile Banking
4087,UCO BANK,168580185,228790256.4,512429,June,2024,Mobile Banking
4088,UJJIVAN SMALL FINANCE BANK LIMITED,42726079,64886823.4,1548383,June,2024,Mobile Banking
4089,UMA CO OPERATIVE BANK LTD.,1650,20419.52,81,June,2024,Mobile Banking
4090,UMIYA URBAN CO-OPERATIVE BANK MARYADIT,77,451.7,26,June,2024,Mobile Banking
4091,UNION BANK OF INDIA,896785483,1576998997,2029845,June,2024,Mobile Banking
4092,UNITY SMALL FINANCE BANK LIMITED,97822,620271.71,5511,June,2024,Mobile Banking
4093,UNJHA NAGARIK SAHAKARI BANK LTD.,6502,805837.85,691,June,2024,Mobile Banking
4094,URBAN COOPERATIVE BANK LTD. BAREILLY,122372,298852.76,9618,June,2024,Mobile Banking
4095,UTKARSH SMALL FINANCE BANK,256490,8003926.86,35793,June,2024,Mobile Banking
4096,UTTARAKHAND GRAMIN BANK,86771,1955141.72,1793,June,2024,Mobile Banking
4097,VAISHYA NAGARI SAHA BANK LTD PARBHANI,31157,1679154.77,643,June,2024,Mobile Banking
4098,"VAISHYA SAHAKARI BANK LTD.,MUMBAI",901,11319.22,183,June,2024,Mobile Banking
4099,"VALMIKI URBAN CO OP BANK LTD.,PATHRI",124541,143290.57,43,June,2024,Mobile Banking
4100,"VALSAD DISTRICT CENTRAL CO-OP BANK LTD., VALSAD",122455,310044.23,481,June,2024,Mobile Banking
4101,VARDHAMAN (MAHILA) CO-OPERATIVE URBAN BANK LTD,42800,108373.7,168,June,2024,Mobile Banking
4102,VASAI JANATA SAHAKARI BANK LTD.,9704,446558.24,10357,June,2024,Mobile Banking
4103,VASAI VIKAS SAHAKARI BANK LTD.,999387,1921323.45,2366,June,2024,Mobile Banking
4104,VEERASHAIVA SAHAKARI BANK LTD,13640,357992.99,3797,June,2024,Mobile Banking
4105,VIDARBHA MERCHANTS URBAN CO-OP BANK LTD.,19049,859655.64,130,June,2024,Mobile Banking
4106,VIDYASAGAR CENTRAL COOPERATIVE BANK LTD MIDNAPORE,7253,96762.79,4791,June,2024,Mobile Banking
4107,VIJAY COMMERCIAL CO-OP. BANK LTD. RAJKOT,21983,176360.69,479,June,2024,Mobile Banking
4108,"VIJAYAPURA DCC BANK LTD., VIJAYAPURA",5171,364966.08,1748,June,2024,Mobile Banking
4109,VIKAS SOUHARDA CO-OPERATIVE BANK LTD.,303744,1084516.15,8135,June,2024,Mobile Banking
4110,VIKRAMADITYA NAGRIK SAHAKARI BANK,13917,356150.25,569,June,2024,Mobile Banking
4111,"VILAS CO-OPERATIVE BANK LTD.,LATUR.",2067,11274.77,615,June,2024,Mobile Banking
4112,VILLUPURAM DISTRICT CENTRAL COOPERATIVE BANK LTD.,461,7168.41,202,June,2024,Mobile Banking
4113,WANA NAGRIK SAHAKARIBANK LTD HINGANGHAT,234,34057.98,54,June,2024,Mobile Banking
4114,WARANGAL URBAN COOP BANK LTD,82082,208497.75,272,June,2024,Mobile Banking
4115,WARDHA ZILLA PARISHAD EMPLOYEES URBAN COOPERATIVE BANK LTD WARDHA,46,137.53,57,June,2024,Mobile Banking
4116,WARDHAMAN URBAN CO-OP BANK LTD.,1432,37078.59,1340,June,2024,Mobile Banking
4117,WOORI BANK,670,44485.74,549,June,2024,Mobile Banking
4118,YES BANK LIMITED,81993223,205036964,516960,June,2024,Mobile Banking
4119,A P MAHESH CO-OP URBAN BANK LTD,13810,513020.88,6726,July,2024,Mobile Banking
4120,"ABHINANDAN URBAN CO-OP BANK LTD., AMRAVATI",18102,180326.21,323,July,2024,Mobile Banking
4121,"ABHINAV SAHAKARI BANK LTD, DOMBIVALI",9169,195818.05,1517,July,2024,Mobile Banking
4122,ABHYUDAYA CO-OP. BANK LTD.,7649499,10291578.28,239971,July,2024,Mobile Banking
4123,"ADARNIYA P D PATILSAHEB SAHAKARI BANK LTD., KARAD",82853,127489.21,2989,July,2024,Mobile Banking
4124,ADARSH CO-OPERATIVE BANK,408937,3284925.43,21851,July,2024,Mobile Banking
4125,AGRASEN BANK,4278,174062.87,555,July,2024,Mobile Banking
4126,"AHMEDNAGAR MERCHANTS CO-OP. BANK LTD., AHMEDNAGAR",16607,703769.89,1510,July,2024,Mobile Banking
4127,AHMEDNAGAR SHAHAR SAHAKARI BANK LTD.,1157,21350.65,2563,July,2024,Mobile Banking
4128,AIRTEL PAYMENTS BANK,394445061,225247190.7,15988793,July,2024,Mobile Banking
4129,"AKHAND ANAND CO-OP. BANK LTD., SURAT",9538,564671.49,1076,July,2024,Mobile Banking
4130,ALAVI CO OPERATIVE BANK LTD,916,42309.7,200,July,2024,Mobile Banking
4131,"AMAN SAH BANK LTD.,ICHALKARANJI",158,6448.21,37,July,2024,Mobile Banking
4132,AMARNATH CO. OPERATIVE BANK LTD.,325,31574.51,56,July,2024,Mobile Banking
4133,"AMBAJOGAI PEOPLES CO OP BANK LTD.,AMBAJOGAI",4190,234555.31,4083,July,2024,Mobile Banking
4134,AMBARNATH JAI-HIND CO-OPERATIVE BANK LTD.,7302,179761.49,1500,July,2024,Mobile Banking
4135,AMRELI JILLA MADHYASTHA SAHAKARI BANK LTD.,333572,1558073.58,16669,July,2024,Mobile Banking
4136,AMRELI NAGARIK SAHAKARI BANK LTD.,672,155324.94,135,July,2024,Mobile Banking
4137,ANDHRA PRADESH GRAMEENA VIKAS BANK,108599,4890678.92,51504,July,2024,Mobile Banking
4138,APNA SAHAKARI BANK LTD.,198458,2150939.57,6264,July,2024,Mobile Banking
4139,"Appasaheb Birnale Sahakari Bank Ltd, Dudhgaon",770,8934.66,213,July,2024,Mobile Banking
4140,ARIHANT URBAN COOP BANK LTD,32,596.86,52,July,2024,Mobile Banking
4141,ARVIND SAHAKARI BANK LTD,196349,464689.43,466,July,2024,Mobile Banking
4142,ARYAVART Bank,1288451,2493991.5,102369,July,2024,Mobile Banking
4143,ASSAM GRAMIN VIKASH BANK,3017320,3095525.38,21404,July,2024,Mobile Banking
4144,ASSOCIATE CO-OP BANK LTD.,5713,825923.34,5988,July,2024,Mobile Banking
4145,AU SMALL FINANCE BANK LIMITED,48184795,277535992.3,387637,July,2024,Mobile Banking
4146,AXIS BANK LTD,762605993,2098623194,5032150,July,2024,Mobile Banking
4147,BALASINOR NAG SAH BANK LTD,10578,103237.84,353,July,2024,Mobile Banking
4148,BALITIKURI COOPERATIVE BANK LTD,3587,13852.03,214,July,2024,Mobile Banking
4149,BALOTRA URBAN CO-OPERATIVE BANK LTD.,77955,745273.66,1802,July,2024,Mobile Banking
4150,BALUSSERI CO OPERATIVE URBAN BANK LTD ,15,212.33,15,July,2024,Mobile Banking
4151,BANASKANTHA DISTRICT CENTRAL CO-OP. BANK LTD.,40950,2437139.54,72,July,2024,Mobile Banking
4152,BANDHAN BANK,61801796,195455934.5,311230,July,2024,Mobile Banking
4153,BANK OF BAHRAIN & KUWAIT B S C,691,7721.07,149,July,2024,Mobile Banking
4154,BANK OF BARODA,931840515,1552856167,2824215,July,2024,Mobile Banking
4155,BANK OF INDIA,449314225,648275103.3,346195,July,2024,Mobile Banking
4156,BANK OF MAHARASHTRA,212396785,373300281.8,222666,July,2024,Mobile Banking
4157,BARAN NAGRIK SAHKARI BANK LTD.,29468,485873.29,1837,July,2024,Mobile Banking
4158,BARODA UP GRAMIN BANK,271500,6631970.25,836579,July,2024,Mobile Banking
4159,Basoda nagrik sahakari bank mydt basoda,116,2751.27,28,July,2024,Mobile Banking
4160,BASSEIN CATHOLIC CO-OP. BANK LTD,75027,6090153.06,23030,July,2024,Mobile Banking
4161,BHADRADRI CO OPERATIVE URBAN BANK LTD,214291,399321.65,249,July,2024,Mobile Banking
4162,"BHAGINI NIVEDITA SAHAKARI BANK LTD., PUNE",603719,792100.44,27182,July,2024,Mobile Banking
4163,BHARAT BANK COOPERATIVE (MUM) LTD.,5488483,17207905.25,52181,July,2024,Mobile Banking
4164,BHAVANA RISHI COOPERATIVE URBAN BANK LTD,2499,101630.26,1374,July,2024,Mobile Banking
4165,Bhavani Urban Co-op.Bank Ltd.Georai Dist.Beed ,23490,49940.18,907,July,2024,Mobile Banking
4166,BHAVNAGAR DISTRICT CO-OPERATIVE BANK LTD,6916,283049.95,11001,July,2024,Mobile Banking
4167,BHILWARA URBAN COOPERATIVE BANK LTD,27427,100049.23,559,July,2024,Mobile Banking
4168,BOMBAY MERCANTILE CO-OPERATIVE BANK LIMITED,656128,2035958.75,1536,July,2024,Mobile Banking
4169,BRAMHAPURI URBAN CO-OP BANK LTD.,226,6412.56,70,July,2024,Mobile Banking
4170,C G RAJYA SAHAKARI BANK (MYDT),80013,214927.15,1973,July,2024,Mobile Banking
4171,CANARA BANK,700318834,1692893615,1741968,July,2024,Mobile Banking
4172,CAPITAL SMALL FINANCE BANK LIMITED,1420490,7991639.15,18759,July,2024,Mobile Banking
4173,CATHOLIC SYRIAN BANK LIMITED,7884788,21234513.02,49286,July,2024,Mobile Banking
4174,CENTRAL BANK OF INDIA,211621946,464442790.9,382480,July,2024,Mobile Banking
4175,CHAITANYA GODAVARI GRAMEENA BANK,6525592,8921528.45,211948,July,2024,Mobile Banking
4176,CHIKKAMAGALURU DISTRICT CENTRAL CO-OP BANK LTD.,795,14643.31,142,July,2024,Mobile Banking
4177,CITIZENCREDIT CO-OP. BANK LTD.,304739,517107.3,6094,July,2024,Mobile Banking
4178,"CITIZENS CO-OPERATIVE BANK LTD., RAJKOT",8278,788389.74,598,July,2024,Mobile Banking
4179,CITY UNION BANK,63871366,135478749.5,235839,July,2024,Mobile Banking
4180,COASTAL LOCAL AREA BANK LTD,7552,366563.78,1858,July,2024,Mobile Banking
4181,COL RD NIKAM SAINIK SAHAKARI BANK LTD.,120,879.14,45,July,2024,Mobile Banking
4182,CONTAI CO-OPERATIVE BANK LTD.,1376,57692.45,318,July,2024,Mobile Banking
4183,DAKSHIN BIHAR GRAMIN BANK,38024,1167460.32,30349,July,2024,Mobile Banking
4184,DAPOLI URBAN CO-OP BANK LTD. DAPOLI,0,0,0,July,2024,Mobile Banking
4185,DAUSA URBAN COOPERATIVE BANK LTD,12034,222309.18,393,July,2024,Mobile Banking
4186,DBS BANK LIMITED,26750368,62096798.65,770406,July,2024,Mobile Banking
4187,DCB BANK LTD.,6669256,31541402.69,87940,July,2024,Mobile Banking
4188,DCCB Srikakulam,1826,28517.27,919,July,2024,Mobile Banking
4189,DEENDAYAL NAGARI SAHKARI BANK LTD ;AMBAJOGAI,1532,70074.04,1810,July,2024,Mobile Banking
4190,DEOGIRI NAGARI SAHAKARI BANK LTD. AURANGABAD,24525,472225.73,2024,July,2024,Mobile Banking
4191,DEUTSCHE BANK,892975,4453667.9,34381,July,2024,Mobile Banking
